"date","time","group","subject","session","build","gender_response","gender_latency","other_response","other_latency","age_response","age_latency","ethnicity_response","ethnicity_latency","other_response","other_latency","english_response","english_latency","other_response","other_latency","political_response","political_latency",""
"2020-07-19","01:25:03","2","3HL8HNGX46AYMN48079XSCJZ0FW9F3","1","6.2.1","Male","108246","25","108246","38","108246","Asian/Asian American","108246","","","No (please write for how many years you have spoken English)","108246","","","Slightly Liberal","108246",""
"2020-07-21","18:51:28","6","3ZPBJO59KRGWBPN1A8S28RDTMOMDHH","1","6.2.1","Male","11637","","11637","22","11637","White/European American","11637","","","Yes","11637","","","Moderately Conservative","11637",""
"2020-07-21","18:50:39","1","30X31N5D655N3RY51SDZM4CPAW6SAF","1","6.2.1","Male","8827","","8827","37","8827","White/European American","8827","","","Yes","8827","","","Slightly Conservative","8827",""
"2020-07-21","17:50:08","8","3F6HPJW4JFFR55KA8IULDBWC4LAW2R","1","6.2.1","Male","8981","","8981","26","8981","White/European American","8981","","","Yes","8981","","","Slightly Liberal","8981",""
"2020-07-21","17:52:47","6","39ASUFLU6ZMYPL1GB7L8HVJ8AQ6XEN","1","6.2.1","Male","30472","","30472","52","30472","White/European American","30472","","","Yes","30472","","","Moderately Conservative","30472",""
"2020-07-21","18:55:13","1","3OS46CRSLHE28H365A1SHMUADHAV6X","1","6.2.1","Female","22113","","22113","47","22113","White/European American","22113","","","Yes","22113","","","Middle of the Road","22113",""
"2020-07-21","18:53:54","3","3TVRFO09GMUCVRB8ST8CUQ9SJN7XLA","1","6.2.1","Male","19308","","19308","45","19308","White/European American","19308","","","Yes","19308","","","Extremely Liberal","19308",""
"2020-07-21","19:00:23","7","3C5W7UE9CH5W19TTS59RU3OHJSXMX1","2","6.2.1","Male","11948","","11948","39","11948","White/European American","11948","","","Yes","11948","","","Moderately Liberal","11948",""
"2020-07-21","19:00:36","1","3OSWBBLG1GCTXFNGFCAOBD1NAE5XDU","1","6.2.1","Male","13378","","13378","36","13378","White/European American","13378","","","Yes","13378","","","Slightly Liberal","13378",""
"2020-07-21","16:03:12","3","39GAF6DQWTF71V29Z4PBMQ3T56UV1Z","1","6.2.1","Female","13030","","13030","31","13030","Asian/Asian American","13030","","","Yes","13030","","","Extremely Liberal","13030",""
"2020-07-21","19:13:08","7","3OS4RQUCRBUJIWYB1MDWAGDG3O0BFD","1","6.2.0","Male","4294843861","","4294843861","29","4294843861","White/European American","4294843861","","","Yes","4294843861","","","Slightly Conservative","4294843861",""
