build,computer.platform,date,time,group,subject,blockcode,blocknum,trialcode,trialnum,response,correct,latency,stimulusnumber1,stimulusitem1,condition,d_sc,latdiff_sc,percentcorrect_sc,d_p,percentcorrect_p,d,percentcorrect
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIM_I,1,MIM_I_im,3,36,1,2987,8,corrupt,MIM_IC_vain,,0,100,,0,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIM_I,1,MIM_I_im,4,36,1,2175,1,immoral,MIM_IC_vain,,0,100,,0,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIM_I,1,MIM_I_m,5,33,1,1164,4,fair,MIM_IC_vain,,0,100,,0,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIM_I,1,MIM_I_im,6,36,1,1123,5,dishonest,MIM_IC_vain,,0,100,,0,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIM_I,1,MIM_I_m,7,33,1,1203,6,truthful,MIM_IC_vain,,0,100,,0,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIM_I,1,MIM_I_att,8,36,1,2542,3,gorgeous,MIM_IC_vain,,0,100,,0,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIM_I,1,MIM_I_att,9,36,1,1847,8,stunning,MIM_IC_vain,,0,100,,0,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIM_I,1,MIM_I_att,10,36,1,885,5,pretty,MIM_IC_vain,,0,100,,0,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIM_I,1,MIM_I_m,11,33,1,1293,2,ethical,MIM_IC_vain,,0,100,,0,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIMV_I_practice,2,pMIMD_I_att,3,36,1,4272,1,attractive,MIM_IC_vain,,0,127.2727273,,466.6666667,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIMV_I_practice,2,pMIMD_I_att,4,36,1,1484,6,sexy,MIM_IC_vain,,0,136.3636364,,375,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIMV_I_practice,2,pMIMD_I_im,5,36,1,1489,3,unfair,MIM_IC_vain,,0,145.4545455,,320,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIMV_I_practice,2,pMIMD_I_m,6,33,1,3140,8,principled,MIM_IC_vain,,0,154.5454545,,283.3333333,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIMV_I_practice,2,pMIMD_I_att,7,36,1,1302,2,good-looking,MIM_IC_vain,,0,163.6363636,,257.1428571,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIMV_I_practice,2,pMIMD_I_v,8,57,1,1586,4,prideful,MIM_IC_vain,,0,172.7272727,,237.5,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIMV_I_practice,2,pMIMD_I_m,9,33,1,1597,5,honest,MIM_IC_vain,,0,181.8181818,,222.2222222,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIMV_I_practice,2,pMIMD_I_v,10,57,1,1119,6,arrogant,MIM_IC_vain,,0,190.9090909,,210,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIMV_I_practice,2,pMIMD_I_v,11,57,1,1540,2,superficial,MIM_IC_vain,,0,200,,200,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIMV_I_practice,2,pMIMD_I_att,12,36,1,985,7,beautiful,MIM_IC_vain,,0,209.0909091,,191.6666667,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIMV_I_practice,2,pMIMD_I_im,13,36,1,1374,4,deceitful,MIM_IC_vain,,0,218.1818182,,184.6153846,,0
6.2.1,mac,7/19/20,1:25:03,2,3HL8HNGX46AYMN48079XSCJZ0FW9F3,MIMV_I_practice,2,pMIMD_I_m,14,33,1,1198,3,virtuous,MIM_IC_vain,,0,227.2727273,,178.5714286,,0
